file,category,k,rotation_deg,d16a_error,mf_error,p2v2_error,mean_error,std_error
chair/chair_0067.ply,1_front,1,326.94,55.56,64.00,69.05,62.87,5.56
chair/chair_0509.ply,1_front,1,18.29,40.79,43.78,38.37,40.98,2.21
airplane/airplane_0211.ply,1_front,1,228.34,93.34,101.87,38.94,78.05,27.87
bookshelf/bookshelf_0276.ply,2_fronts,2,298.57,51.07,89.81,57.02,65.96,17.04
bookshelf/bookshelf_0007.ply,1_front,1,15.87,141.63,39.07,44.71,75.14,47.07
chair/chair_0170.ply,1_front,1,120.08,127.42,133.60,121.36,127.46,5.00
bookshelf/bookshelf_0119.ply,1_front,1,47.10,87.90,168.64,140.83,132.46,33.49
bench/bench_0006.ply,2_fronts,2,352.73,78.75,89.33,14.40,60.83,33.11
bench/bench_0103.ply,1_front,1,58.17,125.67,109.36,29.97,88.33,41.80
glass_box/glass_box_0205.ply,4_fronts,4,159.06,43.44,39.31,43.33,42.03,1.92
bench/bench_0048.ply,1_front,1,254.04,164.04,170.83,36.78,123.88,61.66
glass_box/glass_box_0110.ply,4_fronts,4,201.93,39.38,12.09,43.03,31.50,13.81
wardrobe/wardrobe_0072.ply,2_fronts,2,40.27,78.75,50.61,84.13,71.16,14.70
glass_box/glass_box_0132.ply,4_fronts,4,340.22,42.28,37.18,42.30,40.59,2.41
bookshelf/bookshelf_0135.ply,2_fronts,2,248.77,78.75,85.74,40.04,68.18,20.10
bookshelf/bookshelf_0137.ply,1_front,1,53.66,121.16,114.88,119.05,118.36,2.61
chair/chair_0606.ply,1_front,1,12.97,35.47,16.73,33.71,28.64,8.45
chair/chair_0671.ply,1_front,1,132.92,69.58,142.19,104.53,105.43,29.65
chair/chair_0725.ply,1_front,1,198.91,41.41,34.72,38.41,38.18,2.74
chair/chair_0203.ply,1_front,1,154.72,47.78,55.15,53.81,52.24,3.21
glass_box/glass_box_0149.ply,4_fronts,4,15.06,37.56,27.94,35.11,33.54,4.08
glass_box/glass_box_0044.ply,4_fronts,4,131.27,3.73,9.64,7.82,7.06,2.47
wardrobe/wardrobe_0008.ply,1_front,1,335.91,46.59,47.11,50.29,48.00,1.64
chair/chair_0069.ply,1_front,1,349.99,10.01,8.92,22.83,13.92,6.32
chair/chair_0603.ply,1_front,1,14.36,36.86,35.63,32.83,35.11,1.69
chair/chair_0153.ply,1_front,1,128.81,73.69,21.30,109.67,68.22,36.28
bookshelf/bookshelf_0152.ply,1_front,1,245.54,133.04,146.91,44.27,108.07,45.47
bookshelf/bookshelf_0187.ply,2_fronts,2,240.10,78.75,86.56,57.58,74.30,12.24
chair/chair_0035.ply,1_front,1,127.32,97.68,101.12,104.61,101.14,2.83
bench/bench_0009.ply,2_fronts,2,201.56,78.75,89.89,44.54,71.06,19.30
chair/chair_0544.ply,1_front,1,314.90,90.10,56.83,90.41,79.11,15.76
chair/chair_0807.ply,1_front,1,350.58,9.42,6.45,15.39,10.42,3.72
bookshelf/bookshelf_0190.ply,2_fronts,2,269.81,78.75,87.37,10.70,58.94,34.29
bookshelf/bookshelf_0026.ply,2_fronts,2,333.27,78.75,88.01,59.96,75.57,11.67
chair/chair_0931.ply,1_front,1,85.23,175.23,157.22,167.13,166.53,7.36
bathtub/bathtub_0058.ply,2_fronts,2,58.50,78.75,88.24,61.06,76.02,11.26
chair/chair_0175.ply,1_front,1,287.96,139.54,161.95,143.99,148.49,9.69
chair/chair_0932.ply,1_front,1,63.74,131.24,128.21,138.60,132.68,4.36
airplane/airplane_0187.ply,1_front,1,148.43,76.57,39.48,175.82,97.29,57.55
chair/chair_0868.ply,1_front,1,64.57,132.07,117.22,126.51,125.26,6.13
airplane/airplane_0093.ply,1_front,1,332.82,49.68,41.67,20.46,37.27,12.33
bathtub/bathtub_0114.ply,1_front,1,281.66,168.34,120.27,28.00,105.54,58.23
bookshelf/bookshelf_0188.ply,1_front,1,148.22,54.28,63.28,120.64,79.40,29.39
chair/chair_0689.ply,1_front,1,241.17,128.67,125.29,123.10,125.68,2.29
chair/chair_0209.ply,1_front,1,264.62,174.62,164.06,171.71,170.13,4.45
chair/chair_0414.ply,1_front,1,89.34,179.34,178.17,176.83,178.11,1.02
glass_box/glass_box_0238.ply,4_fronts,4,57.31,40.44,20.84,23.03,28.10,8.77
bookshelf/bookshelf_0014.ply,1_front,1,252.46,139.96,175.40,31.90,115.75,61.03
chair/chair_0373.ply,1_front,1,137.72,115.22,68.75,88.85,90.94,19.02
wardrobe/wardrobe_0073.ply,2_fronts,2,13.94,36.44,45.00,30.01,37.15,6.14
chair/chair_0290.ply,1_front,1,169.45,10.55,10.96,25.04,15.52,6.73
chair/chair_0617.ply,1_front,1,71.85,40.65,161.92,127.72,110.10,51.05
wardrobe/wardrobe_0084.ply,2_fronts,2,330.64,71.89,70.11,58.74,66.91,5.83
airplane/airplane_0217.ply,1_front,1,125.88,80.88,100.33,136.09,105.77,22.87
bench/bench_0168.ply,2_fronts,2,295.39,78.75,86.43,49.98,71.72,15.69
wardrobe/wardrobe_0055.ply,1_front,1,313.68,113.82,92.14,120.46,108.81,12.10
chair/chair_0322.ply,1_front,1,80.25,147.75,127.11,150.41,141.76,10.41
bathtub/bathtub_0018.ply,2_fronts,2,237.61,78.75,85.30,70.06,78.04,6.24
chair/chair_0754.ply,1_front,1,143.45,104.05,76.68,89.59,90.11,11.18
chair/chair_0054.ply,1_front,1,100.30,102.20,152.44,158.48,137.71,25.23
